"leafID","leafID2","species","ind","trt","spore_assay","processor","symptoms","sp_viable","inf_viable","counter","date_counted","count1","count2","count3","count4","vol1","vol2","vol3","vol4","lesion_size","notes"
188,"188C","LIDE",20,"T","C",,,,,,,,,,,,,,,,
189,"189S","LIDE",21,"T","S",,,,,,,,,,,,,,,,
189,"189C","LIDE",21,"T","C",,,,,,,,,,,,,,,,
190,"190S","LIDE",22,"T","S",,,,,,,,,,,,,,,,
190,"190C","LIDE",22,"T","C",,,,,,,,,,,,,,,,
191,"191S","LIDE",23,"T","S",,,,,,,,,,,,,,,,
191,"191C","LIDE",23,"T","C",,,,,,,,,,,,,,,,
192,"192S","LIDE",24,"T","S",,,,,,,,,,,,,,,,
192,"192C","LIDE",24,"T","C",,,,,,,,,,,,,,,,
193,"193S","LIDE",25,"T","S",,,,,,,,,,,,,,,,
193,"193C","LIDE",25,"T","C",,,,,,,,,,,,,,,,
194,"194S","LIDE",26,"T","S",,,,,,,,,,,,,,,,
194,"194C","LIDE",26,"T","C",,,,,,,,,,,,,,,,
195,"195S","LIDE",27,"T","S",,,,,,,,,,,,,,,,
195,"195C","LIDE",27,"T","C",,,,,,,,,,,,,,,,
196,"196S","LIDE",28,"T","S",,,,,,,,,,,,,,,,
196,"196C","LIDE",28,"T","C",,,,,,,,,,,,,,,,
197,"197S","LIDE",29,"T","S",,,,,,,,,,,,,,,,
197,"197C","LIDE",29,"T","C",,,,,,,,,,,,,,,,
198,"198S","LIDE",30,"T","S",,,,,,,,,,,,,,,,
198,"198C","LIDE",30,"T","C",,,,,,,,,,,,,,,,
199,"199S","LIDE",31,"T","S",,,,,,,,,,,,,,,,
199,"199C","LIDE",31,"T","C",,,,,,,,,,,,,,,,
200,"200S","LIDE",32,"T","S",,,,,,,,,,,,,,,,
200,"200C","LIDE",32,"T","C",,,,,,,,,,,,,,,,
