"leafID","leafID2","species","ind","leaf","trt","spore_assay","processor","spore_counter","date_counted","count1","count2","count3","prop","perc_lesion","leaf_area_cm2","lesion_area_cm2","asymp","notes","omit","easting","northing","date_proc"
73,"73C","ARME",31,1,"T","C","LMR","SF",2019-06-22,"9","NA","NA","1",100,1.23,1.23,NA,NA,NA,605822,4023874,2019-05-17
74,"74S","ARME",32,1,"T","S","SF","LMR",2019-08-07,"0","0","1","NA",100,1.23,1.23,NA,NA,NA,605822,4023874,2019-05-17
74,"74C","ARME",32,1,"T","C","LMR","SF",2019-06-22,"39","NA","NA","1",100,1.23,1.23,NA,NA,NA,605822,4023874,2019-05-17
75,"75S","ARME",1,1,"C","S","EJH","LMR",2019-08-09,"0","0","0","NA",0,1.23,0,NA,NA,NA,605928,4023758,2019-05-17
75,"75C","ARME",1,1,"C","C","LMR","EL",2019-06-22,"0","NA","NA","1",0,1.23,0,NA,NA,NA,605928,4023758,2019-05-17
76,"76S","ARME",2,1,"C","S","EJH","LMR",2019-08-09,"0","0","0","NA",0,1.23,0,NA,NA,NA,605916,4023752,2019-05-17
76,"76C","ARME",2,1,"C","C","LMR","EL",2019-06-25,"0","NA","NA","1",0,1.23,0,NA,NA,NA,605916,4023752,2019-05-17
77,"77S","ARME",9,1,"C","S","EJH","LMR",2019-08-09,"0","0","0","NA",0,1.23,0,NA,NA,NA,605910,4023803,2019-05-17
77,"77C","ARME",9,1,"C","C","LMR","EL",2019-06-25,"0","NA","NA","1",0,1.23,0,NA,NA,NA,605910,4023803,2019-05-17
78,"78S","ARME",10,1,"C","S","EJH","LMR",2019-08-09,"0","0","0","NA",0,1.23,0,NA,NA,NA,605900,4023805,2019-05-17
78,"78C","ARME",10,1,"C","C","LMR","EL",2019-06-25,"0","NA","NA","1",0,1.23,0,NA,NA,NA,605900,4023805,2019-05-17
79,"79S","ARME",17,1,"C","S","EJH","LMR",2019-08-09,"0","0","0","NA",0,1.23,0,NA,NA,NA,605886,4023806,2019-05-17
79,"79C","ARME",17,1,"C","C","LMR","EL",2019-06-25,"0","NA","NA","1",0,1.23,0,NA,NA,NA,605886,4023806,2019-05-17
80,"80S","ARME",18,1,"C","S","EJH","LMR",2019-08-09,"0","0","0","NA",0,1.23,0,NA,NA,NA,605848,4023819,2019-05-17
