leafID,leafID2,species,ind,leaf,trt,spore_assay,total area,perc_lesion
249,249S,QUAG,17,1,T,S,5152,
250,250S,QUAG,18,1,T,S,5053,
251,251S,QUAG,19,1,T,S,3017,
252,252S,QUAG,20,1,T,S,13112,
253,253S,QUAG,21,1,T,S,4852,
254,254S,QUAG,22,1,T,S,2946,
255,255S,QUAG,23,1,T,S,1636,9.199
256,256S,QUAG,24,1,T,S,2421,13.613
257,257S,QUAG,25,1,T,S,2527,
258,258S,QUAG,26,1,T,S,1769,10.421
259,259S,QUAG,27,1,T,S,2564,13.441
260,260S,QUAG,28,1,T,S,738,3.869
261,261S,QUAG,29,1,T,S,2735,14.334
262,262S,QUAG,30,1,T,S,2481,13.484
263,263S,QUAG,31,1,T,S,497,2.701
264,264S,QUAG,32,1,T,S,2473,13.44
265,265S,QUAG,1,1,C,S,0,
266,266S,QUAG,2,1,C,S,0,
267,267S,QUAG,3,1,C,S,0,
268,268S,QUAG,4,1,C,S,0,
269,269S,QUAG,5,1,C,S,0,
270,270S,QUAG,6,1,C,S,0,
271,271S,QUAG,7,1,C,S,0,
272,272S,QUAG,8,1,C,S,0,
273,273S,QUAG,9,1,C,S,0,
274,274S,QUAG,10,1,C,S,0,
275,275S,QUAG,11,1,C,S,0,
276,276S,QUAG,12,1,C,S,0,
277,277S,QUAG,13,1,C,S,0,
278,278S,QUAG,14,1,C,S,0,
279,279S,QUAG,15,1,C,S,0,
280,280S,QUAG,16,1,C,S,0,
281,281S,QUAG,17,1,C,S,0,
282,282S,QUAG,18,1,C,S,0,
283,283S,QUAG,19,1,C,S,0,
284,284S,QUAG,20,1,C,S,0,
285,285S,QUAG,21,1,C,S,0,
286,286S,QUAG,22,1,C,S,0,
287,287S,QUAG,23,1,C,S,0,
288,288S,QUAG,24,1,C,S,0,
289,289S,QUAG,25,1,C,S,0,
290,290S,QUAG,26,1,C,S,0,
291,291S,QUAG,27,1,C,S,0,
292,292S,QUAG,28,1,C,S,0,
293,293S,QUAG,29,1,C,S,0,
294,294S,QUAG,30,1,C,S,0,
295,295S,QUAG,31,1,C,S,0,
296,296S,QUAG,32,1,C,S,0,
297,297S,QUCH,1,1,T,S,369,1.857
298,298S,QUCH,2,1,T,S,212,1.067
299,299S,QUCH,3,1,T,S,7254,41.094
300,300S,QUCH,4,1,T,S,1027,5.169
301,301S,QUCH,5,1,T,S,526,2.831
302,302S,QUCH,6,1,T,S,0,0
303,303S,QUCH,7,1,T,S,178,0.981
304,304S,QUCH,8,1,T,S,685,3.774
305,305S,QUCH,9,1,T,S,109,0.578
306,306S,QUCH,10,1,T,S,438,2.323
307,307S,QUCH,11,1,T,S,173,0.935
308,308S,QUCH,12,1,T,S,202,1.139
309,309S,QUCH,13,1,T,S,89,0.491
310,310S,QUCH,14,1,T,S,185,1.091
311,311S,QUCH,15,1,T,S,231,1.363
312,312S,QUCH,16,1,T,S,117,0.69
313,313S,QUCH,17,1,T,S,5638,31.06
314,314S,QUCH,18,1,T,S,2585,14.241
315,315S,QUCH,19,1,T,S,249,1.372
316,316S,QUCH,20,1,T,S,251,1.383
317,317S,QUCH,21,1,T,S,2933,14.906
318,318S,QUCH,22,1,T,S,2401,12.203
319,319S,QUCH,23,1,T,S,683,3.788
320,320S,QUCH,24,1,T,S,925,5.379
321,321S,QUCH,25,1,T,S,2648,14.981
322,322S,QUCH,26,1,T,S,810,4.554
323,323S,QUCH,27,1,T,S,2013,11.317
324,324S,QUCH,28,1,T,S,2208,12.402
325,325S,QUCH,29,1,T,S,1093,6.712
326,326S,QUCH,30,1,T,S,350,2.034
327,327S,QUCH,31,1,T,S,471,2.812
328,328S,QUCH,32,1,T,S,2490,13.672
329,329S,QUCH,1,1,C,S,442,2.657
330,330S,QUCH,2,1,C,S,140,0.766
331,331S,QUCH,3,1,C,S,168,1.173
332,332S,QUCH,4,1,C,S,0,0
333,333S,QUCH,5,1,C,S,225,1.132
334,334S,QUCH,6,1,C,S,0,
335,335S,QUCH,7,1,C,S,0,
336,336S,QUCH,8,1,C,S,0,
337,337S,QUCH,9,1,C,S,0,
338,338S,QUCH,10,1,C,S,196,1.08
339,339S,QUCH,11,1,C,S,0,
340,340S,QUCH,12,1,C,S,0,
341,341S,QUCH,13,1,C,S,0,
342,342S,QUCH,14,2,C,S,0,
343,343S,QUCH,15,2,C,S,0,
344,344S,QUCH,16,2,C,S,0,
345,345S,QUCH,17,2,C,S,,0
346,346S,QUCH,18,2,C,S,,0
347,347S,QUCH,19,2,C,S,,0
348,348S,QUCH,20,2,C,S,,1
349,349S,QUCH,21,1,C,S,,0
350,350S,QUCH,22,1,C,S,,0
351,351S,QUCH,23,1,C,S,,0
352,352S,QUCH,24,1,C,S,,0
353,353S,QUCH,25,1,C,S,,0
354,354S,QUCH,26,1,C,S,,0
355,355S,QUCH,27,2,C,S,,0
356,356S,QUCH,28,2,C,S,,0
357,357S,QUCH,29,2,C,S,,0
358,358S,QUCH,30,1,C,S,,0
359,359S,QUCH,31,1,C,S,,0
360,360S,QUCH,32,2,C,S,,0
361,361S,QUPA,1,1,T,S,2084,10.888
362,362S,QUPA,2,1,T,S,2520,13.166
363,363S,QUPA,3,1,T,S,1693,8.845
364,364S,QUPA,4,1,T,S,4652,24.305
365,365S,QUPA,5,1,T,S,3980,19.422
366,366S,QUPA,6,1,T,S,3939,22.144
367,367S,QUPA,7,1,T,S,2955,15.554
368,368S,QUPA,8,1,T,S,2507,13.196
369,369S,QUPA,9,1,T,S,3847,22.661
370,370S,QUPA,10,1,T,S,6738,37.128
371,371S,QUPA,11,1,T,S,2494,13.93
372,372S,QUPA,12,1,T,S,2476,13.643
